baybay-an Enclitic; ! abandon
kuskosan Enclitic; ! shave
pagputedan Enclitic; ! shaving
linong Enclitic; ! shed
linongan Enclitic; ! shed
takrut Enclitic; ! sheepish
bombaen Enclitic; ! shell
kalub Enclitic; ! shell
paltugan Enclitic; ! shell
ukis Enclitic; ! shell
ukisan Enclitic; ! shell
sbtiy Enclitic; ! shell
aglinong Enclitic; ! shelter
linong Enclitic; ! shelter
pastor Enclitic; ! shepherd
kalasag Enclitic; ! shield
saripda Enclitic; ! shield
panangisukat Enclitic; ! shift
panangyalis Enclitic; ! shift
suktan Enclitic; ! shift
yalis Enclitic; ! shift
aglawag Enclitic; ! shine
agraniag Enclitic; ! shine
rimat Enclitic; ! shine
naraniag Enclitic; ! shiny
naranyag Enclitic; ! shiny
nasileng Enclitic; ! shiny
ipaw-it Enclitic; ! ship
ited Enclitic; ! ship
sasakayan Enclitic; ! ship
bapor Enclitic; ! ship
bado Enclitic; ! shirt
kamisadentro Enclitic; ! shirt
damit Enclitic; ! shirt
banog Enclitic; ! shit
takki Enclitic; ! shit
agkintayeg Enclitic; ! shiver
agtigariher Enclitic; ! shiver
agtiherher Enclitic; ! shiver
pamakakelaat Enclitic; ! shock
siddaaw Enclitic; ! shock
sapato Enclitic; ! shoe
sapatos Enclitic; ! shoes
sapatos Enclitic; ! shoe
paltugan Enclitic; ! shoot
rabong Enclitic; ! shoot
tubo Enclitic; ! shoot
gumatang Enclitic; ! shop
pagaramidan Enclitic; ! shop
paglakuan Enclitic; ! shop
ababa Enclitic; ! short
pandek Enclitic; ! short
puted Enclitic; ! short
abaga Enclitic; ! shoulder
ibaklay Enclitic; ! shoulder
ahikkis Enclitic; ! shout
agpukkaw Enclitic; ! shout
ipukkaw Enclitic; ! shout
pukkaw Enclitic; ! shout
pukkaw Enclitic; ! shout
iduron Enclitic; ! shove
dalusan Enclitic; ! shovel
pala Enclitic; ! shovel
palaen Enclitic; ! shovel
arbis Enclitic; ! shower
arimukamok Enclitic; ! shower
babalasang Enclitic; ! shower
maliligo Enclitic; ! shower
ipabuya Enclitic; ! show
mangipakita Enclitic; ! show
pabuya Enclitic; ! show
naparammag Enclitic; ! showy
masirib Enclitic; ! shrewd
agpukkaw Enclitic; ! shriek
agtiherher Enclitic; ! shriek
pukkaw Enclitic; ! shriek
natinggaw Enclitic; ! shrill
pasayan Enclitic; ! shrimp
udang Enclitic; ! shrimp
paglalaoken Enclitic; ! shuffle
suksuken Enclitic; ! shuffle
kagura Enclitic; ! shun
lisian Enclitic; ! shun
irikep Enclitic; ! shut
isera Enclitic; ! shut
nakarikep Enclitic; ! shut
nakasera Enclitic; ! shut
seraan Enclitic; ! shut
agbain Enclitic; ! shy
managbain Enclitic; ! shy
nakakahiya Enclitic; ! shy
agsakit Enclitic; ! sick
masaksakit Enclitic; ! sickly
masakit Enclitic; ! sick
abay Enclitic; ! side
ayonan Enclitic; ! side
kaduaen Enclitic; ! side
kanunongan Enclitic; ! side
ihid Enclitic; ! side
sibay Enclitic; ! side
sikigan Enclitic; ! side
agbangir Enclitic; ! sidewise
agsennaay Enclitic; ! sigh
sennaay Enclitic; ! sigh
imatangan Enclitic; ! sight
kita Enclitic; ! sight
kitaen Enclitic; ! sight
panagkita Enclitic; ! sight
sirihen Enclitic; ! sight
ipakaamo Enclitic; ! signal
senial Enclitic; ! signal
seniasan Enclitic; ! signal
tanda Enclitic; ! signal
pirma Enclitic; ! sign
pirmaan Enclitic; ! sign
marka Enclitic; ! sign
patalhedan Enclitic; ! sign
tanda Enclitic; ! sign
pagulimeken Enclitic; ! silence
ulimek Enclitic; ! silence
siulimek Enclitic; ! silently
naulimek Enclitic; ! silent
nalamuyot Enclitic; ! silky
pirak Enclitic; ! silver
pirak Enclitic; ! silver
napudaw Enclitic; ! silvery
naraniag Enclitic; ! silvery
puraw Enclitic; ! silvery
agkaingas Enclitic; ! similar
agpadpada Enclitic; ! similar
kaingingas Enclitic; ! similar
kasla Enclitic; ! similar
umasping Enclitic; ! similarly
pabur Enclitic; ! simmer
nanumo Enclitic; ! simple
basol Enclitic; ! sin
napasnek Enclitic; ! sincere
napudno Enclitic; ! sincere
agkansion Enclitic; ! sing
agkanta Enclitic; ! sing
awitin Enclitic; ! sing
kanta Enclitic; ! sing
dsr6xs Enclitic; ! sing
maysa Enclitic; ! singular
umawit Enclitic; ! sing
lababo Enclitic; ! sink
sisipen Enclitic; ! sip
ama Enclitic; ! sire
agtugaw Enclitic; ! sit
disso Enclitic; ! site
pahipatakderan Enclitic; ! site
agtugtugaw Enclitic; ! sitting
maipasdek Enclitic; ! situated
naidisso Enclitic; ! situated
umupo Enclitic; ! sit
animera Enclitic; ! six
innem Enclitic; ! six
seis Enclitic; ! six
maikanem Enclitic; ! sixth
dakkel Enclitic; ! sizeable
kadakkel Enclitic; ! size
skate Enclitic; ! skate
nalaing Enclitic; ! skilled
nalaing Enclitic; ! skillful
kudil Enclitic; ! skin
kamanaw Enclitic; ! skin
kudil Enclitic; ! skin
maabungan Enclitic; ! skin
nakuttong Enclitic; ! skinny
ukis Enclitic; ! skin
baktawan Enclitic; ! skip
laktawan Enclitic; ! skip
pandiling Enclitic; ! skirt
saya Enclitic; ! skirt
kalangitan Enclitic; ! sky
langit Enclitic; ! sky
ngumato Enclitic; ! skyrocket
tumayab Enclitic; ! skyrocket
iray Enclitic; ! slant
panalpiitek Enclitic; ! slap
adipen Enclitic; ! slave
tagabo Enclitic; ! slave
patayen Enclitic; ! slay
pasagad Enclitic; ! sled
Ahinturturog-na Enclitic; ! sleep
Ahinturturog-na. Enclitic; ! sleep
maturog Enclitic; ! sleep
maturong Enclitic; ! sleep
pannaturog Enclitic; ! sleep
turog Enclitic; ! sleep
makaturog Enclitic; ! sleepy
makapatuok Enclitic; ! sleepy
nakuttong Enclitic; ! slender
narapis Enclitic; ! slender
galip Enclitic; ! slice
galipen Enclitic; ! slice
hiwain Enclitic; ! slice
iwa Enclitic; ! slice
iwaen Enclitic; ! slice
igalis Enclitic; ! slide
yasa Enclitic; ! slide
apagapaman Enclitic; ! slight
bassit Enclitic; ! slight
ibassit Enclitic; ! slight
maigalis Enclitic; ! slip
maigalis Enclitic; ! slippery
nagalis Enclitic; ! slippery
pirhis Enclitic; ! slip
bakras Enclitic; ! slope
agundayas Enclitic; ! sloping
bayag Enclitic; ! slow
siinayad Enclitic; ! slowly
nabuntog Enclitic; ! slow
nahinad Enclitic; ! slow
nainayad Enclitic; ! slow
nainnayad Enclitic; ! slow
maturog Enclitic; ! slumber
turog Enclitic; ! slumber
dakes Enclitic; ! sly
sidadakes Enclitic; ! slyly
makapadakes Enclitic; ! sly
bassit Enclitic; ! small
battit Enclitic; ! small
kabassiten Enclitic; ! smallest
agangot Enclitic; ! smell
amuyin Enclitic; ! smell
angot Enclitic; ! smell
anguten Enclitic; ! smell
ayamuom Enclitic; ! smell
naangdod Enclitic; ! smell
naangut Enclitic; ! smelly
nabangsit Enclitic; ! smelly
ahisem Enclitic; ! smile
isem Enclitic; ! smile
umsem Enclitic; ! smile
umisisem Enclitic; ! smiling
aso Enclitic; ! smoke
asuk Enclitic; ! smoke
paasukan Enclitic; ! smoke
usok Enclitic; ! smoke
napatad Enclitic; ! smoothly
silalamuyot Enclitic; ! smoothly
makinis Enclitic; ! smooth
nalamuyot Enclitic; ! smooth
nalinis Enclitic; ! smooth
palutan Enclitic; ! snack
biroroko Enclitic; ! snail
birurukong Enclitic; ! snail
bisukol Enclitic; ! snail
suso Enclitic; ! snail
bartin Enclitic; ! snake
uleg Enclitic; ! snake
alisen Enclitic; ! snap
napugsat Enclitic; ! snap
natokkol Enclitic; ! snapped
naparagsit Enclitic; ! snappy
napartak Enclitic; ! snappy
rittuok Enclitic; ! snap
rittuoken Enclitic; ! snap
ngumernger Enclitic; ! snarl
umingar Enclitic; ! snarl
agawen Enclitic; ! snatch
panangagaw Enclitic; ! snatch
rabsuten Enclitic; ! snatch
agbaen Enclitic; ! sneeze
baen Enclitic; ! sneeze
agsinglut Enclitic; ! sniff
agorok Enclitic; ! snore
urok Enclitic; ! snore
hielo Enclitic; ! snow
niyebe Enclitic; ! snow
sabon Enclitic; ! soap
nasabon Enclitic; ! soapy
agpangato Enclitic; ! soar
agpangpangato Enclitic; ! soaring
ngumato Enclitic; ! soar
natanang Enclitic; ! sober
mannakikadua Enclitic; ! social
danuhen Enclitic; ! sock
medias Enclitic; ! socks
paluknongen Enclitic; ! soften
maalumamay Enclitic; ! softly
nalag-an Enclitic; ! softly
nalukneng Enclitic; ! soft
nalukneng Enclitic; ! soft
nalumoy Enclitic; ! soft
gapuna Enclitic; ! so
daga Enclitic; ! soil
maruhitan Enclitic; ! soiled
soldado Enclitic; ! soldier
dapan Enclitic; ! sole
kinamaymaysa Enclitic; ! sole
agmaymaysa Enclitic; ! solely
nakaay-ay-ay Enclitic; ! solemn
nagaed Enclitic; ! solemn
naladingit Enclitic; ! solemn
agsapul Enclitic; ! solicit
dumawat Enclitic; ! solicit
natangken Enclitic; ! solid
sangabukel Enclitic; ! solid
agmaymaysa Enclitic; ! solitary
mailaok Enclitic; ! soluble
marunaw Enclitic; ! soluble
ipamuspusan Enclitic; ! solve
lawlawahen Enclitic; ! solve
palawahen Enclitic; ! solve
mano Enclitic; ! some
sumagmamano Enclitic; ! some
kasla Enclitic; ! somewhat
madamdama Enclitic; ! soon
naktang Enclitic; ! sore
napanaas Enclitic; ! sore
sugat Enclitic; ! sore
naladingit Enclitic; ! sorrowful
ladingit Enclitic; ! sorrow
naladingit Enclitic; ! sorry
naliday Enclitic; ! sorry
pakawan Enclitic; ! sorry
tanu Enclitic; ! so
arimekmek Enclitic; ! sound
ipeksa Enclitic; ! sound
nargaan Enclitic; ! sound
natalhed Enclitic; ! sound
pagtimken Enclitic; ! sound
timek Enclitic; ! sound
tingitingen Enclitic; ! sound
digo Enclitic; ! soup
sopas Enclitic; ! soup
alsem Enclitic; ! sour
paggapuan Enclitic; ! source
pangrugyan Enclitic; ! source
puon Enclitic; ! source
naalsem Enclitic; ! sour
abagatan Enclitic; ! south
agpaabagatan Enclitic; ! southward
agturay Enclitic; ! sovereign
ari Enclitic; ! sovereign
agmula Enclitic; ! sow
agpurwak Enclitic; ! sow
itukit Enclitic; ! sow
kawaw Enclitic; ! space
nagbaetan Enclitic; ! space
nalawa Enclitic; ! spacious
pala Enclitic; ! spade
bayot Enclitic; ! spank
siinut Enclitic; ! sparingly
andap Enclitic; ! spark
gilap Enclitic; ! sparkle
agan-andap Enclitic; ! sparkling
narayray Enclitic; ! sparkling
rayray Enclitic; ! spark
rissik Enclitic; ! spark
agasao Enclitic; ! speak
agmamayo Enclitic; ! speak
agsarita Enclitic; ! speak
ibaga Enclitic; ! speak
gayang Enclitic; ! spear
sibatin Enclitic; ! spear
baro Enclitic; ! special
manmano Enclitic; ! special
naisangsangayan Enclitic; ! special
nakaskasdaaw Enclitic; ! spectacular
kinapartak Enclitic; ! speed
partak Enclitic; ! speed
napartak Enclitic; ! speedy
napartak Enclitic; ! speedy
enkanto Enclitic; ! spell
panahibalikas Enclitic; ! spelling
agbusbos Enclitic; ! spend
nabarayuboy Enclitic; ! spendthrift
nagbukel Enclitic; ! spherical
paglaok Enclitic; ! spice
rikado Enclitic; ! spice
naadat Enclitic; ! spicy
nagasang Enclitic; ! spicy
narikado Enclitic; ! spicy
abel Enclitic; ! spin
agabel Enclitic; ! spin
agababel Enclitic; ! spinning
urot Enclitic; ! spinning
kararua Enclitic; ! spirit
nagawan Enclitic; ! spirited
nagpukaw Enclitic; ! spirited
nayadayo Enclitic; ! spirited
espiritu Enclitic; ! spirit
agtopra Enclitic; ! spit
agtupra Enclitic; ! spit
dumura Enclitic; ! spit
panangsemsem Enclitic; ! spite
itupra Enclitic; ! spit
agsayo Enclitic; ! splash
sangal Enclitic; ! splice
agsina Enclitic; ! split
biyakin Enclitic; ! split
magbiyak Enclitic; ! split
nagkusit Enclitic; ! spoof
kutyara Enclitic; ! spoon
lugar Enclitic; ! spot
maiwaras Enclitic; ! spread
ubbog Enclitic; ! spring
karabasa Enclitic; ! squash
pigas Enclitic; ! squeeze
pisilin Enclitic; ! squeeze
bagsol Enclitic; ! stab
manaksak Enclitic; ! stab
saksakin Enclitic; ! stab
daan Enclitic; ! stale
selo Enclitic; ! stamp
agtakder Enclitic; ! stand
pagtuladan Enclitic; ! standard
wagayway Enclitic; ! standard
patakder Enclitic; ! stand
takdir Enclitic; ! stand
tumakder Enclitic; ! stand
tumayo Enclitic; ! stand
bituen Enclitic; ! star
bituin Enclitic; ! star
almidor Enclitic; ! starch
napalet Enclitic; ! starchy
parengen Enclitic; ! stare
naragsak Enclitic; ! starry-eyed
iruhi Enclitic; ! start
kelaaten Enclitic; ! startle
kigtoten Enclitic; ! startle
mangruhi Enclitic; ! start
puon Enclitic; ! start
ruhi Enclitic; ! start
agbisin Enclitic; ! starve
pabisinan Enclitic; ! starve
agbisin Enclitic; ! starving
isarita Enclitic; ! state
nadaeng Enclitic; ! stately
saritaen Enclitic; ! state
nakaipasdek Enclitic; ! stationary
estasion Enclitic; ! station
pagurayan Enclitic; ! station
nangato Enclitic; ! statuesque
nasayaat Enclitic; ! statuesque
agtaeng Enclitic; ! stay
panagtaeng Enclitic; ! stay
sitatakder Enclitic; ! steady
agtakaw Enclitic; ! steal
takawen Enclitic; ! steal
takaw Enclitic; ! steal
agalibungubong Enclitic; ! steam
alibung-ubong Enclitic; ! steam
alingasaw Enclitic; ! steam
asero Enclitic; ! steel
paslep Enclitic; ! steel
landok Enclitic; ! steely
nasikkel Enclitic; ! steely
narangkis Enclitic; ! steep
iturong Enclitic; ! steer
ungkay Enclitic; ! stem
addang Enclitic; ! step
agbaddek Enclitic; ! step
papartaken Enclitic; ! step
umaddang Enclitic; ! step
lupes Enclitic; ! sterile
sikukusilap Enclitic; ! sternly
naalidunget Enclitic; ! stern
nakakusilap Enclitic; ! stern
ihisa Enclitic; ! stew
bislak Enclitic; ! stick
bislak Enclitic; ! stick
kumpet Enclitic; ! stick
palito Enclitic; ! stick
sarukod Enclitic; ! stick
napigket Enclitic; ! sticky
nasikkel Enclitic; ! stiff
naulimek Enclitic; ! still
agsilud Enclitic; ! sting
naaphes Enclitic; ! sting
sakit Enclitic; ! sting
nasakit Enclitic; ! stingy
agkuti Enclitic; ! stir
kiburen Enclitic; ! stir
paglaoken Enclitic; ! stir
daiten Enclitic; ! stitch
daiten Enclitic; ! stitches
sursiran Enclitic; ! stitches
sursiran Enclitic; ! stitch
pempen Enclitic; ! stock
linibas Enclitic; ! stolen
tinakaw Enclitic; ! stolen
boksit Enclitic; ! stomach
buksit Enclitic; ! stomach
tian Enclitic; ! stomach
tias Enclitic; ! stomach
bato Enclitic; ! stone
batomol Enclitic; ! stone
batuen Enclitic; ! stone
nabato Enclitic; ! stony
pagtugawan Enclitic; ! stool
agrukob Enclitic; ! stoop
kubbo Enclitic; ! stooped
nagrueob Enclitic; ! stooped
agsardeng Enclitic; ! stop
pagsardengen Enclitic; ! stop
panagsardeng Enclitic; ! stop
agummong Enclitic; ! store
idulia Enclitic; ! store
paglakuan Enclitic; ! store
bahio Enclitic; ! storm
bagyo Enclitic; ! storm
nabagyo Enclitic; ! stormy
nalukmeg Enclitic; ! stout
dalikan Enclitic; ! stove
pagapuyan Enclitic; ! stove
pugon Enclitic; ! stove
idulin Enclitic; ! stow
ilemmeng Enclitic; ! stow
nalinteg Enclitic; ! straight
tuwid Enclitic; ! straight
bennaten Enclitic; ! strain
gugoran Enclitic; ! strain
pannakabennat Enclitic; ! strain
pannakagugor Enclitic; ! strain
kabarbaro Enclitic; ! strange
karkarna Enclitic; ! strange
kabarbaro Enclitic; ! strangely
nakaskasdaaw Enclitic; ! strange
ganggananaet Enclitic; ! stranger
sangsangkaili Enclitic; ! stranger
ireppet Enclitic; ! strap
pagtareppet Enclitic; ! strap
arutang Enclitic; ! straw
garami Enclitic; ! straw
nahirikan Enclitic; ! straw
agayas Enclitic; ! stray
simmiasi Enclitic; ! strayed
panagwayas Enclitic; ! stray
sumiasi Enclitic; ! stray
agayus Enclitic; ! stream
ayus Enclitic; ! stream
karayan Enclitic; ! stream
agay-ayus Enclitic; ! streaming
papigsaen Enclitic; ! strengthen
ahinat Enclitic; ! stretch
bennat Enclitic; ! stretch
bennaten Enclitic; ! stretch
kaatiddug Enclitic; ! stretch
yatiddug Enclitic; ! stretch
istrikto Enclitic; ! strict
siinget Enclitic; ! strictly
nainget Enclitic; ! strict
addang Enclitic; ! stride
umad-addang Enclitic; ! stride
aghuelga Enclitic; ! strike
danungen Enclitic; ! strike
matim-og Enclitic; ! strike
tuparen Enclitic; ! strike
nakaskasdaaw Enclitic; ! striking
kuerdas Enclitic; ! string
sinulid Enclitic; ! string
aggahet Enclitic; ! strive
agreghet Enclitic; ! strive
amuyen Enclitic; ! stroke
danog Enclitic; ! stroke
garaw Enclitic; ! stroke
apipigsa Enclitic; ! strongly
napigsa Enclitic; ! strong
pigsa Enclitic; ! strong
dangadang Enclitic; ! struggle
panagrigat Enclitic; ! struggle
nasukir Enclitic; ! stubborn
adal Enclitic; ! study
adalen Enclitic; ! study
agadal Enclitic; ! study
pannakabalin Enclitic; ! study
ipempen Enclitic; ! stuff
maidaramudom Enclitic; ! stumble
agtulatid Enclitic; ! stumbling
maidaramudom Enclitic; ! stumbling
agbaniaga Enclitic; ! stump
nakelaat Enclitic; ! stumped
pungdol Enclitic; ! stump
naikuleng Enclitic; ! stupefied
mulengleng Enclitic; ! stupid
muttaleng Enclitic; ! stupid
nakuneng Enclitic; ! stupid
tangek Enclitic; ! stupid
nalagda Enclitic; ! sturdy
moda Enclitic; ! style
tabas Enclitic; ! style
tabasen Enclitic; ! style
wagas Enclitic; ! style
nangayed Enclitic; ! stylish
pagrukbaben Enclitic; ! subdue
pasukuen Enclitic; ! subdue
adalan Enclitic; ! subject
masakup Enclitic; ! subject
paadalen Enclitic; ! subject
pagrukbaben Enclitic; ! subject
napakumbaba Enclitic; ! submissive
idatag Enclitic; ! submit
itden Enclitic; ! submit
ited Enclitic; ! submit
adu Enclitic; ! substantial
naraman Enclitic; ! substantial
isukat Enclitic; ! substitute
sukat Enclitic; ! substitute
suktan Enclitic; ! substitute
sulmit Enclitic; ! substitute
suno Enclitic; ! substitute
ikkatan Enclitic; ! subtract
kissayan Enclitic; ! subtract
agammol Enclitic; ! suck
subual Enclitic; ! suckling
tahibi Enclitic; ! suckling
sipsipin Enclitic; ! suck
sumipsip Enclitic; ! suck
sumusop Enclitic; ! suck
susopen Enclitic; ! suck
kelaat Enclitic; ! sudden
apagkanito Enclitic; ! suddenly
panagotired Enclitic; ! suffering
panagsagaba Enclitic; ! suffering
sagaba Enclitic; ! suffering
itured Enclitic; ! suffer
sagabaen Enclitic; ! suffer
anayen Enclitic; ! suffice
kaaduen Enclitic; ! suffice
umdas Enclitic; ! sufficient
agsukar Enclitic; ! sugar
tagapulot Enclitic; ! sugar
isingasing Enclitic; ! suggest
maibagay Enclitic; ! suitable
mainugot Enclitic; ! suitable
ibagay Enclitic; ! suit
ipagalad Enclitic; ! suit
terno Enclitic; ! suit
naalidumhet Enclitic; ! sullen
naalsem Enclitic; ! sullen
nasipnget Enclitic; ! sullen
napudot Enclitic; ! sultry
dagup Enclitic; ! sum
dagup Enclitic; ! summary
summady Enclitic; ! summary
kalgaw Enclitic; ! summer
pagdagupen Enclitic; ! sum
pagtitiponen Enclitic; ! sum
araw Enclitic; ! sun
aglapitog Enclitic; ! sunburn
init Enclitic; ! sun
masisirap Enclitic; ! sun
nalawag Enclitic; ! sunny
naragsak Enclitic; ! sunny
bannawag Enclitic; ! sunrise
nangato Enclitic; ! superior
nasayaat Enclitic; ! superior
ngatuen Enclitic; ! superior
mangmalem Enclitic; ! sup
kasapulan Enclitic; ! supply
ikkan Enclitic; ! supply
taraon Enclitic; ! supply
pangtarabay Enclitic; ! support
singit Enclitic; ! support
taraknen Enclitic; ! support
tulong Enclitic; ! support
tulongan Enclitic; ! support
ipagarup Enclitic; ! suppose
ipapan Enclitic; ! suppose
sitatalhed Enclitic; ! surely
natalhed Enclitic; ! sure
rabaw Enclitic; ! surface
pagsiddaawen Enclitic; ! surprise
siddaaw Enclitic; ! surprise
nakaskasdaaw Enclitic; ! surprising
nakaskasdaaw Enclitic; ! surprising
irurukma Enclitic; ! surrender
isusuko Enclitic; ! surrender
ited Enclitic; ! surrender
paikutan Enclitic; ! surrender
sumuko Enclitic; ! surrender
lawlawen Enclitic; ! surround
likmuten Enclitic; ! surround
panagsirpat Enclitic; ! survey
panangrukod Enclitic; ! survey
rukoden Enclitic; ! survey
sirpaten Enclitic; ! survey
maipaparup Enclitic; ! suspect
kanunongan Enclitic; ! sustain
tulongan Enclitic; ! sustain
agkanaldook Enclitic; ! swallow
alimunen Enclitic; ! swallow
gkanaldook Enclitic; ! swallow
salapingaw Enclitic; ! swallow
tilmon Enclitic; ! swallow
tilmonen Enclitic; ! swallow
tilmunen Enclitic; ! swallow
alog Enclitic; ! swamp
ubbog Enclitic; ! swamp
kaalogan Enclitic; ! swampy
kannaway Enclitic; ! swan
agguummong Enclitic; ! swarm
pangen Enclitic; ! swarm
bawingen Enclitic; ! sway
dagsen Enclitic; ! sway
garawen Enclitic; ! sway
itulod Enclitic; ! sway
pigsa Enclitic; ! sway
tignay Enclitic; ! sway
isapata Enclitic; ! swear
aglinget Enclitic; ! sweat
agling-et Enclitic; ! sweat
gayyem Enclitic; ! sweat
ling-et Enclitic; ! sweat
agkaykay Enclitic; ! sweep
agdalus Enclitic; ! sweep
agsagad Enclitic; ! sweep
kaykay Enclitic; ! sweep
naan-anay Enclitic; ! sweeping
phisy Enclitic; ! sweep
pasam-iten Enclitic; ! sweeten
sisasam-it Enclitic; ! sweetly
nasamait Enclitic; ! sweet
nasam-it Enclitic; ! sweet
bumsog Enclitic; ! swell
bussog Enclitic; ! swell
mamaga Enclitic; ! swell
padakkelen Enclitic; ! swell
sipapartak Enclitic; ! swiftly
napartak Enclitic; ! swift
aglangoy Enclitic; ! swim
languyin Enclitic; ! swim
lumangoy Enclitic; ! swim
danog Enclitic; ! swing
ilili Enclitic; ! swing
indayon Enclitic; ! swing
itulod Enclitic; ! swing
mangipamatmat Enclitic; ! symbolic
nabagas Enclitic; ! symbolic
ipamatmat Enclitic; ! symbolize
ringhila Enclitic; ! syringe
nasayud Enclitic; ! systematic
naurnos Enclitic; ! systematic
dalang Enclitic; ! table
dulang Enclitic; ! table
lamisaan Enclitic; ! table
nasikap Enclitic; ! tactical
buntot Enclitic; ! tail
ipus Enclitic; ! tail
kibol Enclitic; ! tail
kibol Enclitic; ! tailless
putot Enclitic; ! tailless
agdadait Enclitic; ! tailor
sastre Enclitic; ! tailor
putot Enclitic; ! tail
alaen Enclitic; ! take
mangala Enclitic; ! take
masireb Enclitic; ! talented
agsao Enclitic; ! talk
managsao Enclitic; ! talkative
natagari Enclitic; ! talkative
sarita Enclitic; ! talk
natayag Enclitic; ! tall
nawasnang Enclitic; ! tall
naamo Enclitic; ! tame
kayumanghi Enclitic; ! tan
tanke Enclitic; ! tank
pikpik Enclitic; ! tap
pikpiken Enclitic; ! tap
tugtohen Enclitic; ! tap
alketran Enclitic; ! tar
naladaw Enclitic; ! tardy
naudi Enclitic; ! tardy
aramid Enclitic; ! task
trabaho Enclitic; ! task
nahimas Enclitic; ! taste
raman Enclitic; ! taste
ramanan Enclitic; ! taste
naimas Enclitic; ! tasty
naramn Enclitic; ! tasty
buis Enclitic; ! tax
pagbuisen Enclitic; ! tax
adalan Enclitic; ! teach
agsuro Enclitic; ! teach
panangisuro Enclitic; ! teaching
pannursuro Enclitic; ! teaching
suro Enclitic; ! teaching
isuro Enclitic; ! teach
sangkakuyog Enclitic; ! team
timpuyog Enclitic; ! team
managlua Enclitic; ! tearful
lulua Enclitic; ! tear
pihis Enclitic; ! tear
pihisen Enclitic; ! tear
lua Enclitic; ! tears
angaw Enclitic; ! tease
angawen Enclitic; ! tease
rabak Enclitic; ! tease
rabaken Enclitic; ! tease
makakatang Enclitic; ! tedious
pagayaban Enclitic; ! telephone
telepono Enclitic; ! telephone
baga Enclitic; ! tell
bagam Enclitic; ! tell
bagbagam Enclitic; ! tell
ibaga Enclitic; ! tell
ibagbagak Enclitic; ! telling
isalaysay Enclitic; ! tell
palawahen Enclitic; ! tell
saritaen Enclitic; ! tell
managpungtot Enclitic; ! temperamental
kalalamganna Enclitic; ! temperate
natimbeng Enclitic; ! temperate
rikna Enclitic; ! temper
tenneben Enclitic; ! temper
timbengen Enclitic; ! temper
sulisohen Enclitic; ! tempt
kasamak Enclitic; ! tenant
dumagus Enclitic; ! tenant
makitalon Enclitic; ! tenant
agduyos Enclitic; ! tend
naganus Enclitic; ! tender
nalangto Enclitic; ! tender
nalumoy Enclitic; ! tender
ubing Enclitic; ! tender
dhis Enclitic; ! ten
tamingen Enclitic; ! tend
gapulo Enclitic; ! ten
sangapulo Enclitic; ! ten
agsardeng Enclitic; ! tense
tolda Enclitic; ! tent
anay Enclitic; ! terminate
panagsaad Enclitic; ! term
sao Enclitic; ! term
nakaal-alinget Enclitic; ! terrible
nakabutbuteng Enclitic; ! terrible
ababa Enclitic; ! terse
nabatad Enclitic; ! terse
examen Enclitic; ! test
agsaksi Enclitic; ! testify
padasen Enclitic; ! test
suboken Enclitic; ! test
suot Enclitic; ! test
suoten Enclitic; ! test
igalut Enclitic; ! tether
isab-it Enclitic; ! tether
itali Enclitic; ! tether
luplupot Enclitic; ! textile
agyaman Enclitic; ! thank
managyaman Enclitic; ! thankful
panagyaman Enclitic; ! thankful
yaman Enclitic; ! thanks
managpabuya Enclitic; ! theatrical
idi Enclitic; ! then
tapno Enclitic; ! then
gapu Enclitic; ! thereby
daydiay Enclitic; ! there
diay Enclitic; ! there
dita Enclitic; ! there
idiay Enclitic; ! there
sadiay Enclitic; ! there
makapal Enclitic; ! thick
napalit Enclitic; ! thick
napuskol Enclitic; ! thick
napuskol Enclitic; ! thick
puskol Enclitic; ! thick
ahisipen Enclitic; ! think
agpanunot Enclitic; ! think
managpanunot Enclitic; ! thinking
isipin Enclitic; ! think
mag-isip Enclitic; ! think
panunoten Enclitic; ! think
nakuttong Enclitic; ! thin
naingpis Enclitic; ! thin
nakuttong Enclitic; ! thin
pumapayat Enclitic; ! thinner
maikatlo Enclitic; ! third
maikatlo Enclitic; ! third
waw Enclitic; ! thirst
mawaw Enclitic; ! thirsty
nasiit Enclitic; ! thorny
naananay Enclitic; ! thorough
nasapasap Enclitic; ! thorough
nupay Enclitic; ! though
panunot Enclitic; ! thought
uray Enclitic; ! though
sangaribu Enclitic; ! thousand
satsatan Enclitic; ! thrash
sag-ot Enclitic; ! thread
sinulid Enclitic; ! thread
butbutngen Enclitic; ! threaten
talo Enclitic; ! three
tres Enclitic; ! three
ireken Enclitic; ! thresh
mamitlo Enclitic; ! thrice
ganas Enclitic; ! thrill
makaay-ayo Enclitic; ! thrilling
naganas Enclitic; ! thrilling
trono Enclitic; ! throne
agummong Enclitic; ! throng
ummong Enclitic; ! throng
bato Enclitic; ! throw
ibato Enclitic; ! throw
ihahis Enclitic; ! throw
ipuruak Enclitic; ! throw
maghahis Enclitic; ! throw
purwak Enclitic; ! throw
karuskos Enclitic; ! thrust
duron Enclitic; ! thrust
durudor Enclitic; ! thrust
ikarasukus Enclitic; ! thrust
ikarsong Enclitic; ! thrust
idurom Enclitic; ! thrust
pislen Enclitic; ! thumb
tammudo Enclitic; ! thumb
tangan Enclitic; ! thumb
guruod Enclitic; ! thunder
guruud Enclitic; ! thunder
nakabutbuteng Enclitic; ! thunderous
ampas Enclitic; ! tick
bilete Enclitic; ! ticket
